57, 65, 3, S
58, 65, 2, L
58, 66, 1, J
57, 66, 2, F
57, 67, 3, 7
58, 67, 2, L
58, 68, 3, 7
59, 68, 4, J
59, 67, 4, -
59, 66, 3, F
60, 66, 3, |
61, 66, 2, L
61, 67, 1, J
60, 67, 2, F
60, 68, 3, 7
61, 68, 3, |
62, 68, 2, L
62, 69, 3, 7
63, 69, 2, L
63, 70, 2, -
63, 71, 1, J
62, 71, 4, 7
62, 70, 1, L
61, 70, 4, 7
61, 69, 1, L
60, 69, 2, F
60, 70, 1, J
59, 70, 4, 7
59, 69, 1, L
58, 69, 1, |
57, 69, 4, 7
57, 68, 1, L
56, 68, 4, 7
56, 67, 1, L
55, 67, 2, F
55, 68, 1, J
54, 68, 1, |
53, 68, 2, F
53, 69, 3, 7
54, 69, 3, |
55, 69, 2, L
55, 70, 1, J
54, 70, 1, |
53, 70, 1, |
52, 70, 4, 7
52, 69, 1, L
51, 69, 2, F
51, 70, 1, J
50, 70, 2, F
50, 71, 2, -
50, 72, 2, -
50, 73, 3, 7
51, 73, 4, J
51, 72, 3, F
52, 72, 4, J
52, 71, 3, F
53, 71, 3, |
54, 71, 3, |
55, 71, 3, |
56, 71, 4, J
56, 70, 3, F
57, 70, 2, L
57, 71, 3, 7
58, 71, 3, |
59, 71, 2, L
59, 72, 3, 7
60, 72, 2, L
60, 73, 1, J
59, 73, 1, |
58, 73, 4, 7
58, 72, 1, L
57, 72, 1, |
56, 72, 1, |
55, 72, 1, |
54, 72, 1, |
53, 72, 2, F
53, 73, 1, J
52, 73, 2, F
52, 74, 2, -
52, 75, 3, 7
53, 75, 2, L
53, 76, 3, 7
54, 76, 4, J
54, 75, 4, -
54, 74, 4, -
54, 73, 3, F
55, 73, 2, L
55, 74, 2, -
55, 75, 3, 7
56, 75, 4, J
56, 74, 4, -
56, 73, 3, F
57, 73, 2, L
57, 74, 3, 7
58, 74, 3, |
59, 74, 3, |
60, 74, 3, |
61, 74, 2, L
61, 75, 1, J
60, 75, 1, |
59, 75, 1, |
58, 75, 1, |
57, 75, 2, F
57, 76, 1, J
56, 76, 1, |
55, 76, 2, F
55, 77, 1, J
54, 77, 1, |
53, 77, 2, F
53, 78, 1, J
52, 78, 1, |
51, 78, 4, 7
51, 77, 3, F
52, 77, 4, J
52, 76, 1, L
51, 76, 4, 7
51, 75, 4, -
51, 74, 1, L
50, 74, 2, F
50, 75, 2, -
50, 76, 1, J
49, 76, 2, F
49, 77, 1, J
48, 77, 4, 7
48, 76, 4, -
48, 75, 3, F
49, 75, 4, J
49, 74, 4, -
49, 73, 1, L
48, 73, 2, F
48, 74, 1, J
47, 74, 2, F
47, 75, 1, J
46, 75, 4, 7
46, 74, 1, L
45, 74, 2, F
45, 75, 1, J
44, 75, 2, F
44, 76, 3, 7
45, 76, 3, |
46, 76, 3, |
47, 76, 2, L
47, 77, 1, J
46, 77, 1, |
45, 77, 1, |
44, 77, 2, F
44, 78, 3, 7
45, 78, 2, L
45, 79, 3, 7
46, 79, 4, J
46, 78, 3, F
47, 78, 2, L
47, 79, 3, 7
48, 79, 4, J
48, 78, 3, F
49, 78, 3, |
50, 78, 2, L
50, 79, 1, J
49, 79, 2, F
49, 80, 3, 7
50, 80, 3, |
51, 80, 4, J
51, 79, 3, F
52, 79, 2, L
52, 80, 3, 7
53, 80, 4, J
53, 79, 3, F
54, 79, 4, J
54, 78, 3, F
55, 78, 3, |
56, 78, 3, |
57, 78, 4, J
57, 77, 3, F
58, 77, 4, J
58, 76, 3, F
59, 76, 3, |
60, 76, 2, L
60, 77, 1, J
59, 77, 2, F
59, 78, 1, J
58, 78, 2, F
58, 79, 1, J
57, 79, 2, F
57, 80, 1, J
56, 80, 4, 7
56, 79, 1, L
55, 79, 2, F
55, 80, 1, J
54, 80, 2, F
54, 81, 2, -
54, 82, 3, 7
55, 82, 4, J
55, 81, 3, F
56, 81, 2, L
56, 82, 3, 7
